#Assembly 1	Assembly 2
A01p00020.1_BnaDARv10-PA	CDY61895.1
A09p68020.1_BnaDARv10-PA	CDY32530.1
A09p68060.1_BnaDARv10-PA	CDY32525.1
A09p68070.1_BnaDARv10-PA	CDY32524.1
A09p68080.1_BnaDARv10-PA	CDY32523.1
A09p68090.1_BnaDARv10-PA	CDY32522.1
A09p68110.1_BnaDARv10-PA	CDY32521.1
A09p68120.1_BnaDARv10-PA	CDY32520.1
A09p68130.1_BnaDARv10-PA	CDY32519.1
A09p68160.1_BnaDARv10-PA	CDY10094.1
A09p68170.1_BnaDARv10-PA	CDY32517.1
A09p68180.1_BnaDARv10-PA	CDY32516.1
A09p68200.1_BnaDARv10-PA	CDY32514.1
A09p68210.1_BnaDARv10-PA	CDY32512.1
A09p68220.1_BnaDARv10-PA	CDY32511.1
A09p68230.1_BnaDARv10-PA	CDY32510.1
A09p68240.1_BnaDARv10-PA	CDY32509.1
A09p68250.1_BnaDARv10-PA	CDY32508.1
A09p68260.1_BnaDARv10-PA	CDY32507.1
A09p68290.1_BnaDARv10-PA	CDY32504.1
A09p68300.1_BnaDARv10-PA	CDY32503.1
A09p68310.1_BnaDARv10-PA	CDY32502.1
A09p68330.1_BnaDARv10-PA	CDY32500.1
A09p68340.1_BnaDARv10-PA	CDY32499.1
A09p68350.1_BnaDARv10-PA	CDY32498.1
A09p68380.1_BnaDARv10-PA	CDY32495.1
A09p68410.1_BnaDARv10-PA	CDY32493.1
A09p68420.1_BnaDARv10-PA	CDY32492.1
A09p68440.1_BnaDARv10-PA	CDY32488.1
A09p68450.1_BnaDARv10-PA	CDY32487.1
A09p68460.1_BnaDARv10-PA	CDY32486.1
A09p68480.1_BnaDARv10-PA	CDY32484.1
A09p68490.1_BnaDARv10-PA	CDY32483.1
A09p68500.1_BnaDARv10-PA	CDY32482.1
A09p68520.1_BnaDARv10-PA	CDY32480.1
A09p68530.1_BnaDARv10-PA	CDY32479.1
A09p68540.1_BnaDARv10-PA	CDY32478.1
A09p68550.1_BnaDARv10-PA	CDY32477.1
A09p68560.1_BnaDARv10-PA	CDY32476.1
A09p68570.1_BnaDARv10-PA	CDY32475.1
A09p68580.1_BnaDARv10-PA	CDY32474.1
A09p68590.1_BnaDARv10-PA	CDY32473.1
A09p68600.1_BnaDARv10-PA	CDY32472.1
A09p68630.1_BnaDARv10-PA	CDY32471.1
A09p68640.1_BnaDARv10-PA	CDY32467.1
A09p68670.1_BnaDARv10-PA	CDY36113.1
A09p68710.1_BnaDARv10-PA	CDY32466.1
A09p68720.1_BnaDARv10-PA	CDY32465.1
A09p68730.1_BnaDARv10-PA	CDY32464.1
A09p68740.1_BnaDARv10-PA	CDY32463.1
A09p68750.1_BnaDARv10-PA	CDY32462.1
A09p68760.1_BnaDARv10-PA	CDY32461.1
A09p68770.1_BnaDARv10-PA	CDY32460.1
A09p68780.1_BnaDARv10-PA	CDY32459.1
A09p68790.1_BnaDARv10-PA	CDY32458.1
A09p68800.1_BnaDARv10-PA	CDY32457.1
A09p68810.1_BnaDARv10-PA	CDY32456.1
A09p68820.1_BnaDARv10-PA	CDY32455.1
A09p68830.1_BnaDARv10-PA	CDY32454.1
A09p68850.1_BnaDARv10-PA	CDY32450.1
A09p68860.1_BnaDARv10-PA	CDY32448.1
A09p68870.1_BnaDARv10-PA	CDY55329.1
A09p68880.1_BnaDARv10-PA	CDY32446.1
A09p68890.1_BnaDARv10-PA	CDY32445.1
A09p68900.1_BnaDARv10-PA	CDY32444.1
A09p68920.1_BnaDARv10-PA	CDY32442.1
A09p68940.1_BnaDARv10-PA	CDY32441.1
A09p68960.1_BnaDARv10-PA	CDY32440.1
A09p68980.1_BnaDARv10-PA	CDY32439.1
A09p68990.1_BnaDARv10-PA	CDY37996.1
A09p69000.1_BnaDARv10-PA	CDY37997.1
A09p69010.1_BnaDARv10-PA	CDY37998.1
A09p69020.1_BnaDARv10-PA	CDY37999.1
A09p69060.1_BnaDARv10-PA	CDY38003.1
A09p69070.1_BnaDARv10-PA	CDY38004.1
A09p69080.1_BnaDARv10-PA	CDY38005.1
A09p69090.1_BnaDARv10-PA	CDY38006.1
A09p69110.1_BnaDARv10-PA	CDY38008.1
A09p69120.1_BnaDARv10-PA	CDY38010.1
A09p69170.1_BnaDARv10-PA	CDY38015.1
A09p69260.1_BnaDARv10-PA	CDY38046.1
A09p69290.1_BnaDARv10-PA	CDY38048.1
A09p69300.1_BnaDARv10-PA	CDY38049.1
A09p69320.1_BnaDARv10-PA	CDY38051.1
A09p69330.1_BnaDARv10-PA	CDY38052.1
A09p69340.1_BnaDARv10-PA	CDY38053.1
A09p69350.1_BnaDARv10-PA	CDY38054.1
A09p69380.1_BnaDARv10-PA	CDY38059.1
A09p69390.1_BnaDARv10-PA	CDY38060.1
A09p69410.1_BnaDARv10-PA	CDY71795.1
A09p69440.1_BnaDARv10-PA	CDY15038.1
A10p00060.1_BnaDARv10-PA	CDY15124.1
A10p00080.1_BnaDARv10-PA	CDY15126.1
A10p00090.1_BnaDARv10-PA	CDY15127.1
A10p00100.1_BnaDARv10-PA	CDY38056.1
A10p00110.1_BnaDARv10-PA	CDY15129.1
A10p00170.1_BnaDARv10-PA	CDY15144.1
A10p00180.1_BnaDARv10-PA	CDY15145.1
A10p00190.1_BnaDARv10-PA	CDY15146.1
A10p00210.1_BnaDARv10-PA	CDY15147.1
A10p00220.1_BnaDARv10-PA	CDY15148.1
A10p00270.1_BnaDARv10-PA	CDY15152.1
A10p00290.1_BnaDARv10-PA	CDY15154.1
A10p00350.1_BnaDARv10-PA	CDY15162.1
A10p00360.1_BnaDARv10-PA	CDY15163.1
A10p00380.1_BnaDARv10-PA	CDY15164.1
A10p00390.1_BnaDARv10-PA	CDY51161.1
A10p00400.1_BnaDARv10-PA	CDY15166.1
A10p00410.1_BnaDARv10-PA	CDY15167.1
A10p00430.1_BnaDARv10-PA	CDY15168.1
A10p00480.1_BnaDARv10-PA	CDY15172.1
A10p00500.1_BnaDARv10-PA	CDY15174.1
A10p00510.1_BnaDARv10-PA	CDY15175.1
A10p00540.1_BnaDARv10-PA	CDY15178.1
A10p00570.1_BnaDARv10-PA	CDY15183.1
A10p00600.1_BnaDARv10-PA	CDY15185.1
A10p00610.1_BnaDARv10-PA	CDY15186.1
A10p00620.1_BnaDARv10-PA	CDY15187.1
A10p00650.1_BnaDARv10-PA	CDY14376.1
A10p00660.1_BnaDARv10-PA	CDY15189.1
A10p00680.1_BnaDARv10-PA	CDY15191.1
A10p00690.1_BnaDARv10-PA	CDY15192.1
A10p00700.1_BnaDARv10-PA	CDY15193.1
A10p00720.1_BnaDARv10-PA	CDY70254.1
A10p00740.1_BnaDARv10-PA	CDY15195.1
A10p00760.1_BnaDARv10-PA	CDY15197.1
A10p00800.1_BnaDARv10-PA	CDY15202.1
A10p00840.1_BnaDARv10-PA	CDY15204.1
A10p00860.1_BnaDARv10-PA	CDY15206.1
A10p01000.1_BnaDARv10-PA	CDY16777.1
A10p01020.1_BnaDARv10-PA	CDY15226.1
A10p01030.1_BnaDARv10-PA	CDY15227.1
A10p01040.1_BnaDARv10-PA	CDY15228.1
A10p01060.1_BnaDARv10-PA	CDY15229.1
A10p01070.1_BnaDARv10-PA	CDY15231.1
A10p01090.1_BnaDARv10-PA	CDY15233.1
A10p01120.1_BnaDARv10-PA	CDY15236.1
A10p01140.1_BnaDARv10-PA	CDY15237.1
A10p01180.1_BnaDARv10-PA	CDY15241.1
A10p01250.1_BnaDARv10-PA	CDY15246.1
A10p01260.1_BnaDARv10-PA	CDY15247.1
A10p01280.1_BnaDARv10-PA	CDY15249.1
A10p01300.1_BnaDARv10-PA	CDY15251.1
A10p01320.1_BnaDARv10-PA	CDY15253.1
A10p01360.1_BnaDARv10-PA	CDY15255.1
A10p01380.1_BnaDARv10-PA	CDY15257.1
A10p01400.1_BnaDARv10-PA	CDY15259.1
A10p01450.1_BnaDARv10-PA	CDY32478.1
A10p01460.1_BnaDARv10-PA	CDY15264.1
A10p01470.1_BnaDARv10-PA	CDY15265.1
A10p01490.1_BnaDARv10-PA	CDY15267.1
A10p01510.1_BnaDARv10-PA	CDY15269.1
A10p01520.1_BnaDARv10-PA	CDY15270.1
A10p01570.1_BnaDARv10-PA	CDY18131.1
A10p01630.1_BnaDARv10-PA	CDY18140.1
A10p01640.1_BnaDARv10-PA	CDY18141.1
A10p01650.1_BnaDARv10-PA	CDY18142.1
A10p01660.1_BnaDARv10-PA	CDY18143.1
A10p01700.1_BnaDARv10-PA	CDY18147.1
A10p01730.1_BnaDARv10-PA	CDY18150.1
A10p01750.1_BnaDARv10-PA	CDY18152.1
A10p01760.1_BnaDARv10-PA	CDY71807.1
A10p01790.1_BnaDARv10-PA	CDY18156.1
A10p01800.1_BnaDARv10-PA	CDY18157.1
A10p01940.1_BnaDARv10-PA	CDY18170.1
A10p02010.1_BnaDARv10-PA	CDY64125.1
A10p02060.1_BnaDARv10-PA	CDY70020.1
A10p02090.1_BnaDARv10-PA	CDY64131.1
A10p02120.1_BnaDARv10-PA	CDY72088.1
A10p02150.1_BnaDARv10-PA	CDY18175.1
A10p02190.1_BnaDARv10-PA	CDY18176.1
A10p02200.1_BnaDARv10-PA	CDY18177.1
A10p02320.1_BnaDARv10-PA	CDY18183.1
A10p02330.1_BnaDARv10-PA	CDY18184.1
A10p02340.1_BnaDARv10-PA	CDY18185.1
A10p02350.1_BnaDARv10-PA	CDY18186.1
A10p02370.1_BnaDARv10-PA	CDY18188.1
A10p02380.1_BnaDARv10-PA	CDY18190.1
A10p02390.1_BnaDARv10-PA	CDY18191.1
A10p02400.1_BnaDARv10-PA	CDY18192.1
A10p02410.1_BnaDARv10-PA	CDY18193.1
A10p02420.1_BnaDARv10-PA	CDY18194.1
A10p02490.1_BnaDARv10-PA	CDY18198.1
A10p02500.1_BnaDARv10-PA	CDY18199.1
A10p02510.1_BnaDARv10-PA	CDY18200.1
A10p02520.1_BnaDARv10-PA	CDY18201.1
A10p02530.1_BnaDARv10-PA	CDY18202.1
A10p02550.1_BnaDARv10-PA	CDY18204.1
A10p02570.1_BnaDARv10-PA	CDY18206.1
A10p02580.1_BnaDARv10-PA	CDY18207.1
A10p02590.1_BnaDARv10-PA	CDY18208.1
A10p02620.1_BnaDARv10-PA	CDY18209.1
A10p02640.1_BnaDARv10-PA	CDY18211.1
A10p02650.1_BnaDARv10-PA	CDY18212.1
A10p02670.1_BnaDARv10-PA	CDY18214.1
A10p02680.1_BnaDARv10-PA	CDY18216.1
A10p02700.1_BnaDARv10-PA	CDY18218.1
A10p02710.1_BnaDARv10-PA	CDY67999.1
A10p02740.1_BnaDARv10-PA	CDY60670.1
A10p02750.1_BnaDARv10-PA	CDY60669.1
A10p02760.1_BnaDARv10-PA	CDY60668.1
A10p02780.1_BnaDARv10-PA	CDY60665.1
A10p02790.1_BnaDARv10-PA	CDY60664.1
A10p02810.1_BnaDARv10-PA	CDY60663.1
A10p02820.1_BnaDARv10-PA	CDY60661.1
A10p02850.1_BnaDARv10-PA	CDY18230.1
A10p02870.1_BnaDARv10-PA	CDY18232.1
A10p02880.1_BnaDARv10-PA	CDY18233.1
A10p02890.1_BnaDARv10-PA	CDY18234.1
A10p02900.1_BnaDARv10-PA	CDY15508.1
A10p02920.1_BnaDARv10-PA	CDY18238.1
A10p02930.1_BnaDARv10-PA	CDY18239.1
A10p02940.1_BnaDARv10-PA	CDY18240.1
A10p02980.1_BnaDARv10-PA	CDY18246.1
A10p02990.1_BnaDARv10-PA	CDY18247.1
A10p03030.1_BnaDARv10-PA	CDY61147.1
A10p03050.1_BnaDARv10-PA	CDY61146.1
A10p03060.1_BnaDARv10-PA	CDY61145.1
A10p03070.1_BnaDARv10-PA	CDY61143.1
A10p03100.1_BnaDARv10-PA	CDY72625.1
A10p03110.1_BnaDARv10-PA	CDY61137.1
A10p03120.1_BnaDARv10-PA	CDY18250.1
A10p03130.1_BnaDARv10-PA	CDY18251.1
A10p03140.1_BnaDARv10-PA	CDY18252.1
A10p03150.1_BnaDARv10-PA	CDY18253.1
A10p03160.1_BnaDARv10-PA	CDY18254.1
A10p03300.1_BnaDARv10-PA	CDY18265.1
A10p03330.1_BnaDARv10-PA	CDY18268.1
A10p03350.1_BnaDARv10-PA	CDY18270.1
A10p03370.1_BnaDARv10-PA	CDY18272.1
A10p03380.1_BnaDARv10-PA	CDY18273.1
A10p03390.1_BnaDARv10-PA	CDY18274.1
A10p03400.1_BnaDARv10-PA	CDY18275.1
A10p03410.1_BnaDARv10-PA	CDY18276.1
A10p03460.1_BnaDARv10-PA	CDY18278.1
A10p03470.1_BnaDARv10-PA	CDY53399.1
A10p03490.1_BnaDARv10-PA	CDY72547.1
A10p03500.1_BnaDARv10-PA	CDY53398.1
A10p03510.1_BnaDARv10-PA	CDY53397.1
A10p03540.1_BnaDARv10-PA	CDY53394.1
A10p03550.1_BnaDARv10-PA	CDY53392.1
A10p03560.1_BnaDARv10-PA	CDY53391.1
A10p03570.1_BnaDARv10-PA	CDY53390.1
A10p03600.1_BnaDARv10-PA	CDY53388.1
A10p03610.1_BnaDARv10-PA	CDY53387.1
A10p03620.1_BnaDARv10-PA	CDY18291.1
A10p03650.1_BnaDARv10-PA	CDY46830.1
A10p03670.1_BnaDARv10-PA	CDY46831.1
A10p03700.1_BnaDARv10-PA	CDY46835.1
A10p03710.1_BnaDARv10-PA	CDY46837.1
A10p03730.1_BnaDARv10-PA	CDY46839.1
A10p03740.1_BnaDARv10-PA	CDY46840.1
A10p03750.1_BnaDARv10-PA	CDY46841.1
A10p03760.1_BnaDARv10-PA	CDY49515.1
A10p03770.1_BnaDARv10-PA	CDY46843.1
A10p03790.1_BnaDARv10-PA	CDY46845.1
A10p03800.1_BnaDARv10-PA	CDY32194.1
A10p03820.1_BnaDARv10-PA	CDY46850.1
A10p03830.1_BnaDARv10-PA	CDY71455.1
A10p03840.1_BnaDARv10-PA	CDY46851.1
A10p03870.1_BnaDARv10-PA	CDY46854.1
A10p03890.1_BnaDARv10-PA	CDY46855.1
A10p03900.1_BnaDARv10-PA	CDY46858.1
A10p03910.1_BnaDARv10-PA	CDY46859.1
A10p03940.1_BnaDARv10-PA	CDY46860.1
A10p03950.1_BnaDARv10-PA	CDY46861.1
A10p03970.1_BnaDARv10-PA	CDY46862.1
A10p04030.1_BnaDARv10-PA	CDY64654.1
A10p04040.1_BnaDARv10-PA	CDY64655.1
A10p04050.1_BnaDARv10-PA	CDY64656.1
A10p04060.1_BnaDARv10-PA	CDY64657.1
A10p04090.1_BnaDARv10-PA	CDY47290.1
A10p04100.1_BnaDARv10-PA	CDY47289.1
A10p04120.1_BnaDARv10-PA	CDY47288.1
A10p04130.1_BnaDARv10-PA	CDY47287.1
A10p04140.1_BnaDARv10-PA	CDY47286.1
A10p04160.1_BnaDARv10-PA	CDY47285.1
A10p04170.1_BnaDARv10-PA	CDY47284.1
A10p04180.1_BnaDARv10-PA	CDY47283.1
A10p04200.1_BnaDARv10-PA	CDY47281.1
A10p04210.1_BnaDARv10-PA	CDY47280.1
A10p04240.1_BnaDARv10-PA	CDY10116.1
A10p04250.1_BnaDARv10-PA	CDY47277.1
A10p04270.1_BnaDARv10-PA	CDY47274.1
A10p04280.1_BnaDARv10-PA	CDY10125.1
A10p04290.1_BnaDARv10-PA	CDY47272.1
A10p04330.1_BnaDARv10-PA	CDY47270.1
A10p04350.1_BnaDARv10-PA	CDY10128.1
A10p04360.1_BnaDARv10-PA	CDY47265.1
A10p04370.1_BnaDARv10-PA	CDY47264.1
A10p04400.1_BnaDARv10-PA	CDY47262.1
A10p04430.1_BnaDARv10-PA	CDY47261.1
A10p04440.1_BnaDARv10-PA	CDY51326.1
A10p04450.1_BnaDARv10-PA	CDY51325.1
A10p04470.1_BnaDARv10-PA	CDY51323.1
A10p04480.1_BnaDARv10-PA	CDY51322.1
A10p04500.1_BnaDARv10-PA	CDY51321.1
A10p04510.1_BnaDARv10-PA	CDY51320.1
A10p04550.1_BnaDARv10-PA	CDY47699.1
A10p04560.1_BnaDARv10-PA	CDY47700.1
A10p04570.1_BnaDARv10-PA	CDY47701.1
A10p04580.1_BnaDARv10-PA	CDY47702.1
A10p04600.1_BnaDARv10-PA	CDY47704.1
A10p04610.1_BnaDARv10-PA	CDY47705.1
A10p04620.1_BnaDARv10-PA	CDY47706.1
A10p04630.1_BnaDARv10-PA	CDY47707.1
A10p04640.1_BnaDARv10-PA	CDY47708.1
A10p04650.1_BnaDARv10-PA	CDY10167.1
A10p04660.1_BnaDARv10-PA	CDY47710.1
A10p04670.1_BnaDARv10-PA	CDY47711.1
A10p04680.1_BnaDARv10-PA	CDY47712.1
A10p04690.1_BnaDARv10-PA	CDY47713.1
A10p04710.1_BnaDARv10-PA	CDY47714.1
A10p04720.1_BnaDARv10-PA	CDY47715.1
A10p04730.1_BnaDARv10-PA	CDY47716.1
A10p04750.1_BnaDARv10-PA	CDY47719.1
A10p04800.1_BnaDARv10-PA	CDY47722.1
A10p04810.1_BnaDARv10-PA	CDY47723.1
A10p04950.1_BnaDARv10-PA	CDY67632.1
A10p04980.1_BnaDARv10-PA	CDY57813.1
A10p04990.1_BnaDARv10-PA	CDY57815.1
A10p05000.1_BnaDARv10-PA	CDY57817.1
A10p05010.1_BnaDARv10-PA	CDY57817.1
A10p05020.1_BnaDARv10-PA	CDY57818.1
A10p05040.1_BnaDARv10-PA	CDY57820.1
A10p05050.1_BnaDARv10-PA	CDY57822.1
A10p05070.1_BnaDARv10-PA	CDY57823.1
A10p05100.1_BnaDARv10-PA	CDY10198.1
A10p05130.1_BnaDARv10-PA	CDY10201.1
A10p05170.1_BnaDARv10-PA	CDY10206.1
A10p05190.1_BnaDARv10-PA	CDY10208.1
A10p05210.1_BnaDARv10-PA	CDY10210.1
A10p05220.1_BnaDARv10-PA	CDY10211.1
A10p05270.1_BnaDARv10-PA	CDY10216.1
A10p05280.1_BnaDARv10-PA	CDY10217.1
A10p05300.1_BnaDARv10-PA	CDY10220.1
A10p05310.1_BnaDARv10-PA	CDY10221.1
A10p05370.1_BnaDARv10-PA	CDY54876.1
A10p05390.1_BnaDARv10-PA	CDY10228.1
A10p05400.1_BnaDARv10-PA	CDY54881.1
A10p05410.1_BnaDARv10-PA	CDY54882.1
A10p05430.1_BnaDARv10-PA	CDY54884.1
A10p05440.1_BnaDARv10-PA	CDY54885.1
A10p05450.1_BnaDARv10-PA	CDY54887.1
A10p05470.1_BnaDARv10-PA	CDY54888.1
A10p05480.1_BnaDARv10-PA	CDY54889.1
A10p05490.1_BnaDARv10-PA	CDY54890.1
A10p05510.1_BnaDARv10-PA	CDY10238.1
A10p05530.1_BnaDARv10-PA	CDY43034.1
A10p05540.1_BnaDARv10-PA	CDY10239.1
A10p05550.1_BnaDARv10-PA	CDY10240.1
A10p05570.1_BnaDARv10-PA	CDY10242.1
A10p05620.1_BnaDARv10-PA	CDY10247.1
A10p05630.1_BnaDARv10-PA	CDY10248.1
A10p05680.1_BnaDARv10-PA	CDY64031.1
A10p05690.1_BnaDARv10-PA	CDY64030.1
A10p05730.1_BnaDARv10-PA	CDY29709.1
A10p05750.1_BnaDARv10-PA	CDY10256.1
A10p05780.1_BnaDARv10-PA	CDY10259.1
A10p05790.1_BnaDARv10-PA	CDY10260.1
A10p05820.1_BnaDARv10-PA	CDY10261.1
A10p05850.1_BnaDARv10-PA	CDY10264.1
A10p05890.1_BnaDARv10-PA	CDY10268.1
A10p05920.1_BnaDARv10-PA	CDY10269.1
A10p05950.1_BnaDARv10-PA	CDY72633.1
A10p05990.1_BnaDARv10-PA	CDY10276.1
A10p06030.1_BnaDARv10-PA	CDY71405.1
A10p06160.1_BnaDARv10-PA	CDY20903.1
A10p06170.1_BnaDARv10-PA	CDY20902.1
A10p06200.1_BnaDARv10-PA	CDY70588.1
A10p06220.1_BnaDARv10-PA	CDY58086.1
A10p06230.1_BnaDARv10-PA	CDY58085.1
A10p06240.1_BnaDARv10-PA	CDY58083.1
A10p06280.1_BnaDARv10-PA	CDY72349.1
A10p06290.1_BnaDARv10-PA	CDY70402.1
A10p06300.1_BnaDARv10-PA	CDY17069.1
A10p06310.1_BnaDARv10-PA	CDY17070.1
A10p06330.1_BnaDARv10-PA	CDY17072.1
A10p06390.1_BnaDARv10-PA	CDY17074.1
A10p06430.1_BnaDARv10-PA	CDY48162.1
A10p06450.1_BnaDARv10-PA	CDY17078.1
A10p06480.1_BnaDARv10-PA	CDY17083.1
A10p06490.1_BnaDARv10-PA	CDY17084.1
A10p06520.1_BnaDARv10-PA	CDY17086.1
A10p06600.1_BnaDARv10-PA	CDY70610.1
A10p06660.1_BnaDARv10-PA	CDY17093.1
A10p06800.1_BnaDARv10-PA	CDY62582.1
A10p06850.1_BnaDARv10-PA	CDY48839.1
A10p06900.1_BnaDARv10-PA	CDY65561.1
A10p06940.1_BnaDARv10-PA	CDY53935.1
A10p07030.1_BnaDARv10-PA	CDY53061.1
A10p07040.1_BnaDARv10-PA	CDY53060.1
A10p07050.1_BnaDARv10-PA	CDY47947.1
A10p07080.1_BnaDARv10-PA	CDY53958.1
A10p07090.1_BnaDARv10-PA	CDY47949.1
A10p07100.1_BnaDARv10-PA	CDY47950.1
A10p07120.1_BnaDARv10-PA	CDY47952.1
A10p07140.1_BnaDARv10-PA	CDY47954.1
A10p07160.1_BnaDARv10-PA	CDY47956.1
A10p07200.1_BnaDARv10-PA	CDY12567.1
A10p07290.1_BnaDARv10-PA	CDY50102.1
A10p07300.1_BnaDARv10-PA	CDY50101.1
A10p07310.1_BnaDARv10-PA	CDY50099.1
A10p07320.1_BnaDARv10-PA	CDY14997.1
A10p07330.1_BnaDARv10-PA	CDY14996.1
A10p07340.1_BnaDARv10-PA	CDY14995.1
A10p07350.1_BnaDARv10-PA	CDY14994.1
A10p07360.1_BnaDARv10-PA	CDY14993.1
A10p07370.1_BnaDARv10-PA	CDY14992.1
A10p07390.1_BnaDARv10-PA	CDY14991.1
A10p07410.1_BnaDARv10-PA	CDY14989.1
A10p07420.1_BnaDARv10-PA	CDY14988.1
A10p07430.1_BnaDARv10-PA	CDY14987.1
A10p07450.1_BnaDARv10-PA	CDY14985.1
A10p07460.1_BnaDARv10-PA	CDY70501.1
A10p07480.1_BnaDARv10-PA	CDY14984.1
A10p07490.1_BnaDARv10-PA	CDY14983.1
A10p07500.1_BnaDARv10-PA	CDY14982.1
A10p07510.1_BnaDARv10-PA	CDY63864.1
A10p07530.1_BnaDARv10-PA	CDY14980.1
A10p07540.1_BnaDARv10-PA	CDY14979.1
A10p07550.1_BnaDARv10-PA	CDY14978.1
A10p07610.1_BnaDARv10-PA	CDY14973.1
A10p07630.1_BnaDARv10-PA	CDY14972.1
A10p07640.1_BnaDARv10-PA	CDY14971.1
A10p07650.1_BnaDARv10-PA	CDY14970.1
A10p07660.1_BnaDARv10-PA	CDY14969.1
A10p07670.1_BnaDARv10-PA	CDY14968.1
A10p07700.1_BnaDARv10-PA	CDY14967.1
A10p07730.1_BnaDARv10-PA	CDY70168.1
A10p07750.1_BnaDARv10-PA	CDY50838.1
A10p07770.1_BnaDARv10-PA	CDY72633.1
A10p07790.1_BnaDARv10-PA	CDY14955.1
A10p07800.1_BnaDARv10-PA	CDY50835.1
A10p07950.1_BnaDARv10-PA	CDY68574.1
A10p07960.1_BnaDARv10-PA	CDY68575.1
A10p08010.1_BnaDARv10-PA	CDY67279.1
A10p08510.1_BnaDARv10-PA	CDY37754.1
A10p08560.1_BnaDARv10-PA	CDY37757.1
A10p08580.1_BnaDARv10-PA	CDY37759.1
A10p08590.1_BnaDARv10-PA	CDY37760.1
A10p08600.1_BnaDARv10-PA	CDY37761.1
A10p08610.1_BnaDARv10-PA	CDY37762.1
A10p08620.1_BnaDARv10-PA	CDY37763.1
A10p08630.1_BnaDARv10-PA	CDY37764.1
A10p08660.1_BnaDARv10-PA	CDY66163.1
A10p08700.1_BnaDARv10-PA	CDY61244.1
A10p08720.1_BnaDARv10-PA	CDY65711.1
A10p08740.1_BnaDARv10-PA	CDY37767.1
A10p08750.1_BnaDARv10-PA	CDY37768.1
A10p08800.1_BnaDARv10-PA	CDY37772.1
A10p08810.1_BnaDARv10-PA	CDY66902.1
A10p08910.1_BnaDARv10-PA	CDY51443.1
A10p08960.1_BnaDARv10-PA	CDY70524.1
A10p09180.1_BnaDARv10-PA	CDY64728.1
A10p09190.1_BnaDARv10-PA	CDY71680.1
A10p09200.1_BnaDARv10-PA	CDY67123.1
A10p09270.1_BnaDARv10-PA	CDY71680.1
A10p09280.1_BnaDARv10-PA	CDY65795.1
A10p09320.1_BnaDARv10-PA	CDY64728.1
A10p09470.1_BnaDARv10-PA	CDY36146.1
A10p09510.1_BnaDARv10-PA	CDY38871.1
A10p09560.1_BnaDARv10-PA	CDY70624.1
A10p09650.1_BnaDARv10-PA	CDY64652.1
A10p09660.1_BnaDARv10-PA	CDY51025.1
A10p09720.1_BnaDARv10-PA	CDY51031.1
A10p09750.1_BnaDARv10-PA	CDY58155.1
A10p09760.1_BnaDARv10-PA	CDY58156.1
A10p09790.1_BnaDARv10-PA	CDY31924.1
A10p09810.1_BnaDARv10-PA	CDY69881.1
A10p09820.1_BnaDARv10-PA	CDY72145.1
A10p09850.1_BnaDARv10-PA	CDY31917.1
A10p09890.1_BnaDARv10-PA	CDY65934.1
A10p09900.1_BnaDARv10-PA	CDY31914.1
A10p09910.1_BnaDARv10-PA	CDY31913.1
A10p09940.1_BnaDARv10-PA	CDY61583.1
A10p09960.1_BnaDARv10-PA	CDY31909.1
A10p09980.1_BnaDARv10-PA	CDY31904.1
A10p10010.1_BnaDARv10-PA	CDY54775.1
A10p10120.1_BnaDARv10-PA	CDY50291.1
A10p10130.1_BnaDARv10-PA	CDY50292.1
A10p10150.1_BnaDARv10-PA	CDY50293.1
A10p10160.1_BnaDARv10-PA	CDY50294.1
A10p10170.1_BnaDARv10-PA	CDY50295.1
A10p10200.1_BnaDARv10-PA	CDY52837.1
A10p10210.1_BnaDARv10-PA	CDY52838.1
A10p10220.1_BnaDARv10-PA	CDY12027.1
A10p10260.1_BnaDARv10-PA	CDY52842.1
A10p10270.1_BnaDARv10-PA	CDY52843.1
A10p10280.1_BnaDARv10-PA	CDY49160.1
A10p10290.1_BnaDARv10-PA	CDY50398.1
A10p10300.1_BnaDARv10-PA	CDY49162.1
A10p10320.1_BnaDARv10-PA	CDY50400.1
A10p10370.1_BnaDARv10-PA	CDY50489.1
A10p10380.1_BnaDARv10-PA	CDY50490.1
A10p10390.1_BnaDARv10-PA	CDY50491.1
A10p10400.1_BnaDARv10-PA	CDY50492.1
A10p10420.1_BnaDARv10-PA	CDY50493.1
A10p10450.1_BnaDARv10-PA	CDY50495.1
A10p10460.1_BnaDARv10-PA	CDY50496.1
A10p10470.1_BnaDARv10-PA	CDY50497.1
A10p10480.1_BnaDARv10-PA	CDY19650.1
A10p10510.1_BnaDARv10-PA	CDY19651.1
A10p10520.1_BnaDARv10-PA	CDY49450.1
A10p10530.1_BnaDARv10-PA	CDY49451.1
A10p10540.1_BnaDARv10-PA	CDY49452.1
A10p10550.1_BnaDARv10-PA	CDY49453.1
A10p10560.1_BnaDARv10-PA	CDY49454.1
A10p10600.1_BnaDARv10-PA	CDY49456.1
A10p10620.1_BnaDARv10-PA	CDY49457.1
A10p10630.1_BnaDARv10-PA	CDY49458.1
A10p10640.1_BnaDARv10-PA	CDY49459.1
A10p10650.1_BnaDARv10-PA	CDY19683.1
A10p10670.1_BnaDARv10-PA	CDY49462.1
A10p10680.1_BnaDARv10-PA	CDY49463.1
A10p10710.1_BnaDARv10-PA	CDY19687.1
A10p10730.1_BnaDARv10-PA	CDY14397.1
