#Query (assembly 1) 	 Query (assembly 2)	 Gene name (assembly 2)	UniProt ID (assembly 2)	EC number (assembly 2)
A01p00020.1_BnaDARv10-PA	CDY61895.1	BnaAnng17970D	A0A078JBT0	
A09p13320.1_BnaDARv10-PA	CDY64891.1	BnaA09g52980D	A0A078JGU3	
A09p13330.1_BnaDARv10-PA	CDY64892.1	BnaA09g52990D	A0A078JHK6	
A09p13340.1_BnaDARv10-PA	CDY64893.1	BnaA09g53000D	A0A078JBD2	
A09p13380.1_BnaDARv10-PA	CDY49206.1	BnaA09g10720D	A0A078IGR2	2.7.7.6
A09p13390.1_BnaDARv10-PA	CDY49205.1	BnaA09g10730D	A0A078IEC9	
A09p13410.1_BnaDARv10-PA	CDY49203.1	BnaA09g10750D	A0A078IJF1	
A09p13430.1_BnaDARv10-PA	CDY49201.1	BnaA09g10770D	A0A078IGQ6	
A09p13440.1_BnaDARv10-PA	CDY49200.1	BnaA09g10780D	A0A078IEC6	
A09p13450.1_BnaDARv10-PA	CDY49199.1	BnaA09g10790D	A0A078IIK2	
A09p13460.1_BnaDARv10-PA	CDY49198.1	BnaA09g10800D	A0A078IJE8	
A09p13470.1_BnaDARv10-PA	CDY49197.1	BnaA09g10810D	A0A078IGU7	
A09p13490.1_BnaDARv10-PA	CDY49195.1	BnaA09g10830D	A0A078IEC3	
A09p13500.1_BnaDARv10-PA	CDY49194.1	BnaA09g10840D	A0A078IIJ7	
A09p13510.1_BnaDARv10-PA	CDY49193.1	BnaA09g10850D	A0A078IJE5	5.1.3.-
A09p13520.1_BnaDARv10-PA	CDY49192.1	BnaA09g10860D	A0A078IGU0	
A09p13530.1_BnaDARv10-PA	CDY49191.1	BnaA09g10870D	A0A078IGP6	
A09p13550.1_BnaDARv10-PA	CDY49189.1	BnaA09g10890D	A0A078IIJ2	
A09p13620.1_BnaDARv10-PA	CDY34351.1	BnaA09g10930D	A0A078H9A7	
A09p13630.1_BnaDARv10-PA	CDY25494.1	BnaC09g11190D	A0A078GJR2	
A09p13640.1_BnaDARv10-PA	CDY34352.1	BnaA09g10940D	A0A078H9L5	
A09p13650.1_BnaDARv10-PA	CDY34353.1	BnaA09g10950D	A0A078HC45	
A09p13670.1_BnaDARv10-PA	CDY34355.1	BnaA09g10970D	A0A078H718	
A09p13680.1_BnaDARv10-PA	CDY34356.1	BnaA09g10980D	A0A078H9B3	
A09p13710.1_BnaDARv10-PA	CDY34359.1	BnaA09g11010D	A0A078HA34	2.7.11.1
A09p13720.1_BnaDARv10-PA	CDY34360.1	BnaA09g11020D	A0A078H725	
A09p13730.1_BnaDARv10-PA	CDY34361.1	BnaA09g11030D	A0A078H9B8	
A09p13760.1_BnaDARv10-PA	CDY34364.1	BnaA09g11060D	A0A078HA40	
A09p13790.1_BnaDARv10-PA	CDY34367.1	BnaA09g11090D	A0A078H9M5	
A09p13800.1_BnaDARv10-PA	CDY34368.1	BnaA09g11100D	A0A078HC61	
A09p13810.1_BnaDARv10-PA	CDY25517.1	BnaC09g11420D	A0A078GK78	
A09p13820.1_BnaDARv10-PA	CDY34370.1	BnaA09g11120D	A0A078H738	
A09p13890.1_BnaDARv10-PA	CDY34375.1	BnaA09g11170D	A0A078H746	
A09p13900.1_BnaDARv10-PA	CDY34376.1	BnaA09g11180D	A0A078H9D6	
A09p13910.1_BnaDARv10-PA	CDY34377.1	BnaA09g11190D	A0A078H9N6	
A09p13930.1_BnaDARv10-PA	CDY34379.1	BnaA09g11210D	A0A078HA55	6.2.1.5
A09p13940.1_BnaDARv10-PA	CDY34380.1	BnaA09g11220D	A0A078H752	
A09p13950.1_BnaDARv10-PA	CDY34381.1	BnaA09g11230D	A0A078H9E1	
A09p13960.1_BnaDARv10-PA	CDY34382.1	BnaA09g11240D	A0A078H9P1	
A09p13970.1_BnaDARv10-PA	CDY34383.1	BnaA09g11250D	A0A078HC77	
A09p13990.1_BnaDARv10-PA	CDY34384.1	BnaA09g11260D	A0A078HA62	2.3.2.27
A09p14000.1_BnaDARv10-PA	CDY34385.1	BnaA09g11270D	A0A078H759	
A09p14020.1_BnaDARv10-PA	CDY34387.1	BnaA09g11290D	A0A078H9P7	
A09p14030.1_BnaDARv10-PA	CDY34388.1	BnaA09g11300D	A0A078HC82	
A09p14040.1_BnaDARv10-PA	CDY34389.1	BnaA09g11310D	A0A078HA69	
A09p14050.1_BnaDARv10-PA	CDY34390.1	BnaA09g11320D	A0A078H765	4.6.1.12
A09p14060.1_BnaDARv10-PA	CDY34391.1	BnaA09g11330D	A0A078H9F2	
A09p14070.1_BnaDARv10-PA	CDY34392.1	BnaA09g11340D	A0A078H9Q2	5.6.2.2
A09p14080.1_BnaDARv10-PA	CDY34393.1	BnaA09g11350D	A0A078HC88	
A09p14100.1_BnaDARv10-PA	CDY34395.1	BnaA09g11370D	A0A078H772	3.1.3.16
A09p14110.1_BnaDARv10-PA	CDY34396.1	BnaA09g11380D	A0A078H9F9	
A09p14130.1_BnaDARv10-PA	CDY34399.1	BnaA09g11410D	A0A078HA82	
A09p14140.1_BnaDARv10-PA	CDY34400.1	BnaA09g11420D	A0A078H780	
A09p14150.1_BnaDARv10-PA	CDY34401.1	BnaA09g11430D	A0A078H9G5	
A09p14160.1_BnaDARv10-PA	CDY34403.1	BnaA09g11450D	A0A078HC97	
A09p14170.1_BnaDARv10-PA	CDY34404.1	BnaA09g11460D	A0A078HA91	
A09p14180.1_BnaDARv10-PA	CDY25568.1	BnaC09g11930D	A0A078GLU9	1.1.1.44
A09p14200.1_BnaDARv10-PA	CDY25572.1	BnaC09g11970D	A0A078GKC2	
A09p14210.1_BnaDARv10-PA	CDY34411.1	BnaA09g11530D	A0A078H9H7	
A09p14220.1_BnaDARv10-PA	CDY34412.1	BnaA09g11540D	A0A078H9R8	
A09p14230.1_BnaDARv10-PA	CDY34413.1	BnaA09g11550D	A0A078HCA5	
A09p14260.1_BnaDARv10-PA	CDY34417.1	BnaA09g11590D	A0A078H9S3	
A09p14290.1_BnaDARv10-PA	CDY34418.1	BnaA09g11600D	A0A078HCA9	
A09p14300.1_BnaDARv10-PA	CDY34419.1	BnaA09g11610D	A0A078HAA7	
A09p14310.1_BnaDARv10-PA	CDY34420.1	BnaA09g11620D	A0A078H7A9	
A09p14330.1_BnaDARv10-PA	CDY34421.1	BnaA09g11630D	A0A078H9J0	
A09p14340.1_BnaDARv10-PA	CDY34422.1	BnaA09g11640D	A0A078H9S8	3.2.1.4
A09p14360.1_BnaDARv10-PA	CDY64880.1	BnaAnng19700D	A0A078JEM0	
A09p14370.1_BnaDARv10-PA	CDY64881.1	BnaAnng19710D	A0A078JGT6	2.7.1.67
A09p14380.1_BnaDARv10-PA	CDY64882.1	BnaAnng19720D	A0A078JHJ8	
A09p14390.1_BnaDARv10-PA	CDY47841.1	BnaA09g12200D	A0A078ID71	
A09p14400.1_BnaDARv10-PA	CDY69533.1	BnaAnng30740D	A0A078JPM9	
A09p14410.1_BnaDARv10-PA	CDY53433.1	BnaCnng25130D	A0A078IWQ6	
A09p14420.1_BnaDARv10-PA	CDY53897.1	BnaA09g53040D	A0A078IV90	
A09p14430.1_BnaDARv10-PA	CDY53898.1	BnaA09g53050D	A0A078IY13	
A09p14440.1_BnaDARv10-PA	CDY53899.1	BnaA09g53060D	A0A078IWY6	
A09p14450.1_BnaDARv10-PA	CDY53900.1	BnaA09g53070D	A0A078IS64	
A09p14460.1_BnaDARv10-PA	CDY53901.1	BnaA09g53080D	A0A078IVC1	
A09p14470.1_BnaDARv10-PA	CDY53902.1	BnaA09g53090D	A0A078IV95	
A09p14480.1_BnaDARv10-PA	CDY53903.1	BnaA09g53100D	A0A078IY14	
A09p14490.1_BnaDARv10-PA	CDY67318.1	BnaAnng24030D	A0A078JIE5	
A09p14500.1_BnaDARv10-PA	CDY53900.1	BnaA09g53070D	A0A078IS64	
A09p14510.1_BnaDARv10-PA	CDY65660.1	BnaAnng20920D	A0A078JGM3	
A09p14530.1_BnaDARv10-PA	CDY47832.1	BnaA09g12110D	A0A078ICH5	
A09p14540.1_BnaDARv10-PA	CDY47833.1	BnaA09g12120D	A0A078IF63	
A09p14550.1_BnaDARv10-PA	CDY47834.1	BnaA09g12130D	A0A078IEQ1	
A09p14560.1_BnaDARv10-PA	CDY47835.1	BnaA09g12140D	A0A078IAB1	
A09p14570.1_BnaDARv10-PA	CDY47836.1	BnaA09g12150D	A0A078ID67	
A09p14580.1_BnaDARv10-PA	CDY47837.1	BnaA09g12160D	A0A078ICI1	
A09p14590.1_BnaDARv10-PA	CDY47838.1	BnaA09g12170D	A0A078IF70	
A09p14630.1_BnaDARv10-PA	CDY47839.1	BnaA09g12180D	A0A078IEQ5	
A09p14640.1_BnaDARv10-PA	CDY47840.1	BnaA09g12190D	A0A078IAB8	
A09p14650.1_BnaDARv10-PA	CDY47841.1	BnaA09g12200D	A0A078ID71	
A09p14660.1_BnaDARv10-PA	CDY47842.1	BnaA09g12210D	A0A078ICI8	
A09p14670.1_BnaDARv10-PA	CDY47843.1	BnaA09g12220D	A0A078IF75	
A09p14680.1_BnaDARv10-PA	CDY47844.1	BnaA09g12230D	A0A078IEQ9	2.7.1.67
A09p14700.1_BnaDARv10-PA	CDY47846.1	BnaA09g12250D	A0A078ID75	5.1.3.-
A09p14710.1_BnaDARv10-PA	CDY47847.1	BnaA09g12260D	A0A078ICJ4	
A09p14730.1_BnaDARv10-PA	CDY47849.1	BnaA09g12280D	A0A078IER2	3.2.1.4
A09p14740.1_BnaDARv10-PA	CDY47850.1	BnaA09g12290D	A0A078IAD3	
A09p14750.1_BnaDARv10-PA	CDY47851.1	BnaA09g12300D	A0A078ID79	
A09p14760.1_BnaDARv10-PA	CDY47852.1	BnaA09g12310D	A0A078ICK2	
A09p14780.1_BnaDARv10-PA	CDY47854.1	BnaA09g12330D	A0A078IER7	
A09p14790.1_BnaDARv10-PA	CDY47855.1	BnaA09g12340D	A0A078IAD9	
A09p14810.1_BnaDARv10-PA	CDY38179.1	BnaA09g12100D	A0A078HLG3	
A09p14830.1_BnaDARv10-PA	CDY38181.1	BnaA09g12080D	A0A078HKL7	
A09p14850.1_BnaDARv10-PA	CDY38183.1	BnaA09g12060D	A0A078HMZ5	
A09p14880.1_BnaDARv10-PA	CDY08368.1	BnaC09g12280D	A0A078F9B5	
A09p14900.1_BnaDARv10-PA	CDY38186.1	BnaA09g12030D	A0A078HKM1	
A09p14910.1_BnaDARv10-PA	CDY38187.1	BnaA09g12020D	A0A078HK00	
A09p14920.1_BnaDARv10-PA	CDY08364.1	BnaC09g12320D	A0A078F5N9	
A09p14930.1_BnaDARv10-PA	CDY38189.1	BnaA09g12000D	A0A078HLG9	
A09p14940.1_BnaDARv10-PA	CDY38190.1	BnaA09g11990D	A0A078HI87	
A09p14950.1_BnaDARv10-PA	CDY38191.1	BnaA09g11980D	A0A078HKM4	
A09p14960.1_BnaDARv10-PA	CDY38192.1	BnaA09g11970D	A0A078HK03	
A09p14970.1_BnaDARv10-PA	CDY08357.1	BnaC09g12390D	A0A078F5H7	
A09p14980.1_BnaDARv10-PA	CDY38194.1	BnaA09g11950D	A0A078HLH4	
A09p14990.1_BnaDARv10-PA	CDY38195.1	BnaA09g11940D	A0A078HI90	
A09p15010.1_BnaDARv10-PA	CDY38196.1	BnaA09g11930D	A0A078HKM7	
A09p15020.1_BnaDARv10-PA	CDY38197.1	BnaA09g11920D	A0A078HK08	
A09p15030.1_BnaDARv10-PA	CDY38199.1	BnaA09g11900D	A0A078HLH7	
A09p15070.1_BnaDARv10-PA	CDY38201.1	BnaA09g11880D	A0A078HKN2	
A09p15080.1_BnaDARv10-PA	CDY38202.1	BnaA09g11870D	A0A078HK12	
A09p15090.1_BnaDARv10-PA	CDY38203.1	BnaA09g11860D	A0A078HN14	
A09p15110.1_BnaDARv10-PA	CDY38204.1	BnaA09g11850D	A0A078HLI2	
A09p15120.1_BnaDARv10-PA	CDY38205.1	BnaA09g11840D	A0A078HI98	
A09p15140.1_BnaDARv10-PA	CDY38207.1	BnaA09g11820D	A0A078HK16	
A09p15150.1_BnaDARv10-PA	CDY38208.1	BnaA09g11810D	A0A078HN19	
A09p15160.1_BnaDARv10-PA	CDY08345.1	BnaC09g12510D	A0A078F1K4	
A09p15170.1_BnaDARv10-PA	CDY38210.1	BnaA09g11790D	A0A078HIA3	4.6.1.12
A09p15190.1_BnaDARv10-PA	CDY38211.1	BnaA09g11780D	A0A078HKN8	
A09p15200.1_BnaDARv10-PA	CDY38212.1	BnaA09g11770D	A0A078HK22	
A09p15220.1_BnaDARv10-PA	CDY38215.1	BnaA09g11740D	A0A078HIA8	
A09p15240.1_BnaDARv10-PA	CDY38217.1	BnaA09g11720D	A0A078HK29	
A09p15250.1_BnaDARv10-PA	CDY38218.1	BnaA09g11710D	A0A078HN26	
A09p15270.1_BnaDARv10-PA	CDY38219.1	BnaA09g11700D	A0A078HLJ5	
A09p15280.1_BnaDARv10-PA	CDY38220.1	BnaA09g11690D	A0A078HIB2	
A09p15300.1_BnaDARv10-PA	CDY38222.1	BnaA09g11670D	A0A078HK33	
A09p15310.1_BnaDARv10-PA	CDY71038.1	BnaA09g53020D	A0A078JTZ1	
A09p15320.1_BnaDARv10-PA	CDY38224.1	BnaA09g11650D	A0A078HLK0	
A09p15340.1_BnaDARv10-PA	CDY45350.1	BnaA09g12350D	A0A078I395	
A09p15350.1_BnaDARv10-PA	CDY45351.1	BnaA09g12360D	A0A078I602	
A09p15370.1_BnaDARv10-PA	CDY45354.1	BnaA09g12390D	A0A078I7G6	
A09p15380.1_BnaDARv10-PA	CDY45355.1	BnaA09g12400D	A0A078I3A0	
A09p15390.1_BnaDARv10-PA	CDY45356.1	BnaA09g12410D	A0A078I607	6.3.5.2
A09p15400.1_BnaDARv10-PA	CDY08314.1	BnaC09g12820D	A0A078F5I3	
A09p15410.1_BnaDARv10-PA	CDY45358.1	BnaA09g12430D	A0A078I865	
A09p15420.1_BnaDARv10-PA	CDY45359.1	BnaA09g12440D	A0A078I7H2	
A09p15430.1_BnaDARv10-PA	CDY45360.1	BnaA09g12450D	A0A078I3A5	
A09p15440.1_BnaDARv10-PA	CDY45361.1	BnaA09g12460D	A0A078I611	
A09p15450.1_BnaDARv10-PA	CDY45362.1	BnaA09g12470D	A0A078I5K4	
A09p15460.1_BnaDARv10-PA	CDY45363.1	BnaA09g12480D	A0A078I870	
A09p15480.1_BnaDARv10-PA	CDY68942.1	BnaAnng28860D	A0A078JU02	2.7.11.1
A09p15490.1_BnaDARv10-PA	CDY45364.1	BnaA09g12490D	A0A078I7H8	
A09p15500.1_BnaDARv10-PA	CDY45365.1	BnaA09g12500D	A0A078I3B0	
A09p15510.1_BnaDARv10-PA	CDY49893.1	BnaC09g51330D	A0A078ILF5	
A09p15530.1_BnaDARv10-PA	CDY45368.1	BnaA09g12530D	A0A078I876	
A09p15550.1_BnaDARv10-PA	CDY45370.1	BnaA09g12550D	A0A078I3B6	3.6.4.13
A09p15560.1_BnaDARv10-PA	CDY45371.1	BnaA09g12560D	A0A078I622	
A09p15570.1_BnaDARv10-PA	CDY45372.1	BnaA09g12570D	A0A078I5L3	
A09p15580.1_BnaDARv10-PA	CDY45373.1	BnaA09g12580D	A0A078I880	
A09p15590.1_BnaDARv10-PA	CDY45374.1	BnaA09g12590D	A0A078I7J2	
A09p15600.1_BnaDARv10-PA	CDY49885.1	BnaC09g51250D	A0A078IG50	
A09p15610.1_BnaDARv10-PA	CDY45376.1	BnaA09g12610D	A0A078I629	
A09p15630.1_BnaDARv10-PA	CDY45378.1	BnaA09g12630D	A0A078I884	
A09p15640.1_BnaDARv10-PA	CDY45379.1	BnaA09g12640D	A0A078I7K0	
A09p15650.1_BnaDARv10-PA	CDY45380.1	BnaA09g12650D	A0A078I3C6	
A09p15670.1_BnaDARv10-PA	CDY45976.1	BnaA09g12900D	A0A078I7Y3	
A09p15680.1_BnaDARv10-PA	CDY45975.1	BnaA09g12910D	A0A078I522	
A09p15690.1_BnaDARv10-PA	CDY45974.1	BnaA09g12920D	A0A078I998	
A09p15700.1_BnaDARv10-PA	CDY45973.1	BnaA09g12930D	A0A078I9X7	
A09p15710.1_BnaDARv10-PA	CDY45972.1	BnaA09g12940D	A0A078I780	
A09p15720.1_BnaDARv10-PA	CDY45971.1	BnaA09g12950D	A0A078I7X9	
A09p15730.1_BnaDARv10-PA	CDY45970.1	BnaA09g12960D	A0A078I516	
A09p15750.1_BnaDARv10-PA	CDY45969.1	BnaA09g12970D	A0A078I995	
A09p15770.1_BnaDARv10-PA	CDY45968.1	BnaA09g12980D	A0A078I9X1	
A09p15850.1_BnaDARv10-PA	CDY45966.1	BnaA09g13000D	A0A078I7X5	
A09p15860.1_BnaDARv10-PA	CDY45965.1	BnaA09g13010D	A0A078I511	
A09p15880.1_BnaDARv10-PA	CDY45964.1	BnaA09g13020D	A0A078I991	
A09p15890.1_BnaDARv10-PA	CDY45963.1	BnaA09g13030D	A0A078I9W6	4.2.1.1
A09p15900.1_BnaDARv10-PA	CDY70101.1	BnaUnng03640D	A0A078JX64	
A09p15920.1_BnaDARv10-PA	CDY46927.1	BnaA09g12670D	A0A078I9U9	
A09p15930.1_BnaDARv10-PA	CDY46926.1	BnaA09g12680D	A0A078IAP6	
A09p15940.1_BnaDARv10-PA	CDY46924.1	BnaA09g12700D	A0A078IC44	2.6.1.1
A09p15950.1_BnaDARv10-PA	CDY46923.1	BnaA09g12710D	A0A078ICD9	
A09p15970.1_BnaDARv10-PA	CDY46922.1	BnaA09g12720D	A0A078I9U5	
A09p15990.1_BnaDARv10-PA	CDY46921.1	BnaA09g12730D	A0A078IAN8	
A09p16010.1_BnaDARv10-PA	CDY34281.1	BnaA01g13840D	A0A078H935	2.1.1.-
A09p16030.1_BnaDARv10-PA	CDY46917.1	BnaA09g12770D	A0A078I9U2	
A09p16040.1_BnaDARv10-PA	CDY46916.1	BnaA09g12780D	A0A078IAN1	
A09p16050.1_BnaDARv10-PA	CDY46915.1	BnaA09g12790D	A0A078I7L6	
A09p16090.1_BnaDARv10-PA	CDY46911.1	BnaA09g12830D	A0A078IAM5	
A09p16100.1_BnaDARv10-PA	CDY46910.1	BnaA09g12840D	A0A078I7L1	
A09p16140.1_BnaDARv10-PA	CDY46906.1	BnaA09g12880D	A0A078IAM0	3.2.1.26
A09p16150.1_BnaDARv10-PA	CDY46905.1	BnaA09g12890D	A0A078I7K7	
A09p16170.1_BnaDARv10-PA	CDY68139.1	BnaA09g53140D	A0A078JMV6	1.-.-.-
A09p16190.1_BnaDARv10-PA	CDY12955.1	BnaA09g13190D	A0A078FEY8	1.-.-.-
A09p16200.1_BnaDARv10-PA	CDY12954.1	BnaA09g13200D	A0A078FJ01	
A09p16220.1_BnaDARv10-PA	CDY12952.1	BnaA09g13220D	A0A078FJ12	
A09p16270.1_BnaDARv10-PA	CDY12947.1	BnaA09g13270D	A0A078FJ05	2.7.7.41
A09p16280.1_BnaDARv10-PA	CDY12946.1	BnaA09g13280D	A0A078FIC6	
A09p16290.1_BnaDARv10-PA	CDY12945.1	BnaA09g13290D	A0A078FEX8	
A09p16330.1_BnaDARv10-PA	CDY12943.1	BnaA09g13310D	A0A078FL78	
A09p16350.1_BnaDARv10-PA	CDY12942.1	BnaA09g13320D	A0A078FIZ9	
A09p16360.1_BnaDARv10-PA	CDY12941.1	BnaA09g13330D	A0A078FIC0	
A09p16370.1_BnaDARv10-PA	CDY12940.1	BnaA09g13340D	A0A078FEX5	
A09p16390.1_BnaDARv10-PA	CDY12939.1	BnaA09g13350D	A0A078FIY4	
A09p16400.1_BnaDARv10-PA	CDY12938.1	BnaA09g13360D	A0A078FL75	
A09p16420.1_BnaDARv10-PA	CDY12937.1	BnaA09g13370D	A0A078FIZ3	
A09p16450.1_BnaDARv10-PA	CDY12936.1	BnaA09g13380D	A0A078FIB3	
A09p16470.1_BnaDARv10-PA	CDY12932.1	BnaA09g13420D	A0A078FIY6	
A09p16490.1_BnaDARv10-PA	CDY12930.1	BnaA09g13440D	A0A078FEW7	
A09p16500.1_BnaDARv10-PA	CDY12929.1	BnaA09g13450D	A0A078FIX3	
A09p16520.1_BnaDARv10-PA	CDY12927.1	BnaA09g13470D	A0A078FIY2	
A09p16540.1_BnaDARv10-PA	CDY12923.1	BnaA09g13510D	A0A078FL61	
A09p16600.1_BnaDARv10-PA	CDY12918.1	BnaA09g13560D	A0A078FL55	
A09p16610.1_BnaDARv10-PA	CDY12917.1	BnaA09g13570D	A0A078FIW9	
A09p16620.1_BnaDARv10-PA	CDY12916.1	BnaA09g13580D	A0A078FI87	
A09p16630.1_BnaDARv10-PA	CDY12915.1	BnaA09g13590D	A0A078FEV4	3.1.1.-
A09p16640.1_BnaDARv10-PA	CDY12914.1	BnaA09g13600D	A0A078FIV0	
A09p16650.1_BnaDARv10-PA	CDY12913.1	BnaA09g13610D	A0A078FL50	
A09p16660.1_BnaDARv10-PA	CDY12912.1	BnaA09g13620D	A0A078FIW1	
A09p16680.1_BnaDARv10-PA	CDY12910.1	BnaA09g13640D	A0A078FEV1	
A09p16710.1_BnaDARv10-PA	CDY12908.1	BnaA09g13660D	A0A078FL46	
A09p16720.1_BnaDARv10-PA	CDY12907.1	BnaA09g13670D	A0A078FIV3	
A09p16740.1_BnaDARv10-PA	CDY12906.1	BnaA09g13680D	A0A078FI75	
A09p16750.1_BnaDARv10-PA	CDY12906.1	BnaA09g13680D	A0A078FI75	
A09p16770.1_BnaDARv10-PA	CDY12903.1	BnaA09g13710D	A0A078FL44	
A09p16800.1_BnaDARv10-PA	CDY12895.1	BnaA09g13790D	A0A078FET5	
A09p16820.1_BnaDARv10-PA	CDY12893.1	BnaA09g13810D	A0A078FL37	
A09p16830.1_BnaDARv10-PA	CDY12892.1	BnaA09g13820D	A0A078FIT7	
A09p16840.1_BnaDARv10-PA	CDY12891.1	BnaA09g13830D	A0A078FI54	
A09p16860.1_BnaDARv10-PA	CDY12890.1	BnaA09g13840D	A0A078FET0	
A09p16880.1_BnaDARv10-PA	CDY12887.1	BnaA09g13870D	A0A078FIT3	
A09p16890.1_BnaDARv10-PA	CDY12886.1	BnaA09g13880D	A0A078FI47	
A09p16900.1_BnaDARv10-PA	CDY12885.1	BnaA09g13890D	A0A078FES5	
A09p16910.1_BnaDARv10-PA	CDY12884.1	BnaA09g13900D	A0A078FIR7	
A09p16920.1_BnaDARv10-PA	CDY12883.1	BnaA09g13910D	A0A078FL27	
A09p16940.1_BnaDARv10-PA	CDY12880.1	BnaA09g13940D	A0A078FES0	
A09p16950.1_BnaDARv10-PA	CDY12879.1	BnaA09g13950D	A0A078FIR2	
A09p16960.1_BnaDARv10-PA	CDY12878.1	BnaA09g13960D	A0A078FL22	
A09p16970.1_BnaDARv10-PA	CDY12877.1	BnaA09g13970D	A0A078FIS2	
A09p16980.1_BnaDARv10-PA	CDY54580.1	BnaCnng27350D	A0A078IWZ8	
A09p16990.1_BnaDARv10-PA	CDY12875.1	BnaA09g13990D	A0A078FER5	
A09p17010.1_BnaDARv10-PA	CDY12874.1	BnaA09g14000D	A0A078FIQ6	
A09p17030.1_BnaDARv10-PA	CDY12873.1	BnaA09g14010D	A0A078FL17	3.6.4.12
A09p17040.1_BnaDARv10-PA	CDY12872.1	BnaA09g14020D	A0A078FIR6	
A09p17050.1_BnaDARv10-PA	CDY12871.1	BnaA09g14030D	A0A078FI33	2.8.2.-
A09p17060.1_BnaDARv10-PA	CDY40480.1	BnaC09g14380D	A0A078HPK4	2.8.2.-
A09p17070.1_BnaDARv10-PA	CDY12869.1	BnaA09g14050D	A0A078FIQ1	
A09p17100.1_BnaDARv10-PA	CDY72633.1	BnaAnng41770D	A0A078JY73	
A09p17130.1_BnaDARv10-PA	CDY12865.1	BnaA09g14090D	A0A078FEQ6	2.7.1.68
A09p17140.1_BnaDARv10-PA	CDY54756.1	BnaA09g53170D	A0A078IXB9	
A09p17160.1_BnaDARv10-PA	CDY54760.1	BnaA09g53200D	A0A078IZB7	
A09p17170.1_BnaDARv10-PA	CDY54761.1	BnaA09g53210D	A0A078IU31	
A09p17190.1_BnaDARv10-PA	CDY54764.1	BnaA09g53230D	A0A078IX89	
A09p17200.1_BnaDARv10-PA	CDY54765.1	BnaA09g53240D	A0A078IZT0	
A09p17210.1_BnaDARv10-PA	CDY54766.1	BnaA09g53250D	A0A078IZC2	
A09p17220.1_BnaDARv10-PA	CDY54767.1	BnaA09g53260D	A0A078IU35	2.3.3.8
A09p17230.1_BnaDARv10-PA	CDY69617.1	BnaA09g53160D	A0A078JVP6	
A09p17240.1_BnaDARv10-PA	CDY67411.1	BnaA09g53270D	A0A078JNW6	
A09p17290.1_BnaDARv10-PA	CDY46999.1	BnaC09g14050D	A0A078ICC9	
A09p17300.1_BnaDARv10-PA	CDY50359.1	BnaA09g13080D	A0A078ILV4	
A09p17320.1_BnaDARv10-PA	CDY50360.1	BnaA09g13090D	A0A078IHD4	
A09p17340.1_BnaDARv10-PA	CDY12027.1	BnaAnng02120D	A0A078FGE8	
A09p17380.1_BnaDARv10-PA	CDY50361.1	BnaA09g13100D	A0A078IK43	
A09p17430.1_BnaDARv10-PA	CDY50367.1	BnaA09g13160D	A0A078IKC5	
A09p17440.1_BnaDARv10-PA	CDY50368.1	BnaA09g13170D	A0A078IMW7	
A09p17460.1_BnaDARv10-PA	CDY53045.1	BnaA09g14100D	A0A078IPS4	
A09p17470.1_BnaDARv10-PA	CDY53046.1	BnaA09g14110D	A0A078ITE2	
A09p17490.1_BnaDARv10-PA	CDY53049.1	BnaA09g14140D	A0A078IUF8	2.7.1.137
A09p17510.1_BnaDARv10-PA	CDY53051.1	BnaA09g14160D	A0A078ITE7	
A09p17520.1_BnaDARv10-PA	CDY53052.1	BnaA09g14170D	A0A078ISU8	
A09p17530.1_BnaDARv10-PA	CDY53053.1	BnaA09g14180D	A0A078IVT6	2.4.1.-
A09p17550.1_BnaDARv10-PA	CDY53054.1	BnaA09g14190D	A0A078IUG0	2.4.1.-
A09p17560.1_BnaDARv10-PA	CDY53055.1	BnaA09g14200D	A0A078IPT0	
A09p17580.1_BnaDARv10-PA	CDY53058.1	BnaA09g14230D	A0A078IVT9	
A09p17590.1_BnaDARv10-PA	CDY53059.1	BnaA09g14240D	A0A078IUG5	
A09p17620.1_BnaDARv10-PA	CDY59910.1	BnaA09g14260D	A0A078J681	
A09p17630.1_BnaDARv10-PA	CDY47231.1	BnaC09g14800D	A0A078IBL4	
A09p17660.1_BnaDARv10-PA	CDY59908.1	BnaA09g14280D	A0A078J2E2	
A09p17680.1_BnaDARv10-PA	CDY59907.1	BnaA09g14290D	A0A078J8S5	
A09p17690.1_BnaDARv10-PA	CDY63123.1	BnaA09g53310D	A0A078JBJ1	
A09p17700.1_BnaDARv10-PA	CDY56984.1	BnaCnng31500D	A0A078J3R8	
A09p17720.1_BnaDARv10-PA	CDY64525.1	BnaA09g53340D	A0A078JDP1	
A09p17730.1_BnaDARv10-PA	CDY61698.1	BnaCnng38340D	A0A078JBB6	
A09p17750.1_BnaDARv10-PA	CDY70564.1	BnaAnng34160D	A0A078JUR9	
A09p17770.1_BnaDARv10-PA	CDY45161.1	BnaA09g14310D	A0A078I5I1	
A09p17780.1_BnaDARv10-PA	CDY45160.1	BnaA09g14320D	A0A078I2R3	
A09p17800.1_BnaDARv10-PA	CDY45158.1	BnaA09g14340D	A0A078I7P8	
A09p17820.1_BnaDARv10-PA	CDY30914.1	BnaC09g14920D	A0A078H0F9	
A09p17830.1_BnaDARv10-PA	CDY45155.1	BnaA09g14370D	A0A078I2Q6	
A09p17840.1_BnaDARv10-PA	CDY45154.1	BnaA09g14380D	A0A078I6W5	
